               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.042493,           0.0083645,           0.0052831,             0.80604,             0.83977,             0.85068,             0.43073,             0.03747,           0.0072165,           0.0033836,           0.0070547,           0.0070547,           0.0070547
                 121,            0.034826,           0.0063279,           0.0055551,             0.84484,             0.87785,             0.90142,             0.49832,            0.034896,           0.0072315,           0.0034346,             0.00703,             0.00703,             0.00703
                 122,            0.036662,           0.0073808,           0.0042119,             0.89397,             0.90515,             0.93382,             0.47441,            0.037981,           0.0069946,           0.0033762,           0.0070053,           0.0070053,           0.0070053
                 123,            0.036263,           0.0055589,           0.0035544,             0.83461,             0.89464,             0.89317,             0.46835,            0.038353,           0.0070022,           0.0033503,           0.0069805,           0.0069805,           0.0069805
                 124,            0.037201,           0.0065512,           0.0037914,             0.92426,             0.91845,             0.94358,             0.47646,            0.035893,           0.0069655,           0.0033368,           0.0069558,           0.0069558,           0.0069558
                 125,             0.03421,           0.0071441,           0.0042321,             0.72566,             0.87615,             0.80245,             0.35392,            0.038437,           0.0068984,           0.0032032,            0.006931,            0.006931,            0.006931
                 126,            0.044278,           0.0063586,           0.0051334,             0.78943,             0.89207,             0.88525,             0.42242,            0.040072,           0.0066971,           0.0032285,           0.0069063,           0.0069063,           0.0069063
                 127,             0.03914,           0.0075209,           0.0046895,             0.75261,             0.90171,             0.88174,             0.46211,            0.035969,              0.0068,           0.0031471,           0.0068815,           0.0068815,           0.0068815
                 128,            0.038119,           0.0068095,           0.0049675,             0.84384,             0.88204,             0.90809,             0.46293,            0.036734,           0.0067309,           0.0030618,           0.0068568,           0.0068568,           0.0068568
                 129,            0.037574,           0.0060677,            0.003741,             0.80258,             0.89258,             0.88732,             0.45001,            0.041213,           0.0066503,           0.0028132,            0.006832,            0.006832,            0.006832
                 130,            0.038506,           0.0065801,           0.0035328,              0.8205,             0.89439,             0.91554,             0.48035,            0.041715,           0.0067159,           0.0026983,           0.0068073,           0.0068073,           0.0068073
                 131,            0.039476,           0.0064943,           0.0042251,             0.85335,              0.9012,             0.93838,             0.52268,            0.040839,           0.0067428,           0.0026309,           0.0067825,           0.0067825,           0.0067825
                 132,            0.040243,           0.0058063,           0.0038411,             0.94113,             0.84588,             0.94813,             0.49771,            0.045088,           0.0062798,           0.0026079,           0.0067577,           0.0067577,           0.0067577
                 133,            0.048661,           0.0065582,           0.0040534,             0.84913,             0.86346,             0.88196,             0.36487,            0.042554,           0.0064204,           0.0026616,            0.006733,            0.006733,            0.006733
                 134,            0.039945,           0.0066613,           0.0038285,             0.89828,             0.87216,             0.94307,             0.47499,            0.038819,           0.0063709,           0.0028008,           0.0067082,           0.0067082,           0.0067082
                 135,            0.033234,           0.0056491,           0.0044098,             0.64785,              0.9498,             0.85318,             0.43023,            0.039162,           0.0064195,           0.0028038,           0.0066835,           0.0066835,           0.0066835
                 136,            0.041865,           0.0062752,            0.003582,             0.94435,             0.91786,             0.96519,             0.51238,            0.035181,           0.0064583,            0.002756,           0.0066587,           0.0066587,           0.0066587
                 137,            0.033408,           0.0051499,           0.0037387,             0.95496,              0.8872,             0.94751,             0.54916,            0.037153,           0.0062672,           0.0027396,            0.006634,            0.006634,            0.006634
                 138,            0.032543,           0.0053893,            0.003535,             0.86642,             0.92651,             0.92599,             0.52419,            0.042312,           0.0060154,            0.002787,           0.0066092,           0.0066092,           0.0066092
                 139,            0.041747,            0.006176,           0.0040924,             0.76724,             0.85172,             0.82589,             0.45432,             0.04106,           0.0060897,           0.0027632,           0.0065845,           0.0065845,           0.0065845
                 140,            0.034979,           0.0055633,           0.0030299,             0.85065,             0.93055,             0.93079,              0.5125,            0.036904,             0.00622,            0.002808,           0.0065598,           0.0065598,           0.0065598
                 141,            0.030715,           0.0069741,           0.0036765,             0.76803,             0.91965,             0.88118,             0.45062,            0.036771,           0.0062146,           0.0028657,            0.006535,            0.006535,            0.006535
                 142,            0.039868,            0.006873,           0.0037152,             0.88828,             0.93204,             0.95261,             0.51257,            0.035628,            0.006308,           0.0028462,           0.0065102,           0.0065102,           0.0065102
                 143,            0.037136,           0.0063402,           0.0035938,              0.8761,             0.92341,             0.94142,             0.53584,            0.034653,            0.006329,           0.0027632,           0.0064855,           0.0064855,           0.0064855
                 144,            0.033662,           0.0059108,           0.0030413,             0.90301,             0.89316,              0.9512,             0.55621,             0.03464,           0.0062754,           0.0027309,           0.0064608,           0.0064608,           0.0064608
                 145,            0.035563,           0.0068151,           0.0032307,             0.93789,             0.93118,             0.96859,             0.52603,            0.038883,            0.006065,           0.0025744,            0.006436,            0.006436,            0.006436
                 146,            0.034693,           0.0061967,           0.0039249,             0.93415,             0.88706,             0.94162,             0.54643,            0.035343,           0.0061058,           0.0025936,           0.0064112,           0.0064112,           0.0064112
                 147,              0.0348,           0.0062725,           0.0028587,             0.96216,             0.88148,             0.95633,             0.55188,             0.03481,            0.006066,            0.002576,           0.0063865,           0.0063865,           0.0063865
                 148,            0.035537,           0.0057078,           0.0030535,             0.86164,             0.86197,             0.90495,             0.45148,            0.041393,           0.0060212,           0.0026231,           0.0063618,           0.0063618,           0.0063618
                 149,            0.042838,           0.0065053,           0.0049001,             0.90188,             0.92807,             0.95267,             0.53421,            0.037059,           0.0060689,           0.0026915,            0.006337,            0.006337,            0.006337
                 150,            0.034166,            0.006104,           0.0033558,             0.91992,             0.89693,             0.93485,             0.53366,            0.036444,           0.0061059,            0.002689,           0.0063122,           0.0063122,           0.0063122
                 151,            0.034975,           0.0059044,           0.0034169,             0.95968,             0.92396,             0.97434,             0.56049,            0.039584,           0.0060615,            0.002652,           0.0062875,           0.0062875,           0.0062875
                 152,            0.037382,           0.0054063,           0.0035668,             0.95182,             0.91875,               0.971,             0.54269,             0.03631,            0.006179,           0.0025938,           0.0062628,           0.0062628,           0.0062628
                 153,              0.0331,           0.0056905,           0.0030185,             0.95484,             0.90326,             0.96906,              0.5545,            0.034242,            0.006187,           0.0025584,            0.006238,            0.006238,            0.006238
                 154,            0.031914,           0.0066012,           0.0031881,             0.89242,             0.93121,             0.93437,             0.47671,            0.038105,            0.006117,           0.0025509,           0.0062132,           0.0062132,           0.0062132
